matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20251FISIC0272,,,Campus Cariacica,F,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20241FISIC0194,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2024/1,,
20141ENPRO0225,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2014/1,,
20201FISIC0029,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2020/1,,
20241ECON0224,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20231ENPRO0534,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20241FISIC0100,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2024/1,,
20241FISIC0437,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2024/1,,
20191FISIC0259,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2019/1,,
20231ENPRO0216,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20201FISIC0128,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2020/1,,
20251ECON0443,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251FISIC0230,,,Campus Cariacica,F,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20201ENPRO0478,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2020/1,,
20251FISIC0108,,,Campus Cariacica,F,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20251ECON0508,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20221ENPRO0308,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2022/1,,
20251ENPRO0156,,,Campus Cariacica,F,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
